Q-E,PH-E,DBO-E,DQO-E,SS-E,PH-S,DBO-S,DQO-S,SS-S,BOD_removal
37919.0,7.82,248.6,558.2,162.4,7.48,22.4,81.8,10.7,91.0
31653.7,7.89,250.3,526.1,80.0,7.69,12.9,49.9,3.3,94.86
42935.3,7.56,283.6,625.6,179.5,7.46,34.6,118.9,17.8,87.8
30674.9,8.17,385.6,865.5,267.8,7.63,37.2,120.0,19.2,90.35
39253.2,7.33,243.5,527.5,245.8,7.44,21.0,61.1,15.6,91.38
26242.0,7.26,189.5,420.0,208.9,7.46,8.5,36.4,4.0,95.51
30030.9,7.77,218.5,459.6,218.9,7.59,9.5,31.6,4.7,95.64
39181.2,8.01,113.9,248.1,185.6,7.6,7.0,27.2,8.1,93.81
42430.8,8.21,178.3,403.2,230.2,7.68,18.1,62.8,17.7,89.86
39028.2,7.56,195.4,433.0,258.3,7.44,25.5,74.9,26.9,86.93
37306.1,8.02,188.6,403.8,139.2,7.64,15.5,51.4,7.1,91.79
36193.4,7.69,229.1,509.2,235.0,7.63,25.1,74.7,25.5,89.07
29128.9,7.65,170.7,387.6,266.6,7.54,7.2,39.6,6.2,95.81
33680.9,7.97,287.3,573.1,199.2,7.7,24.2,75.0,16.0,91.57
35236.2,7.9,220.0,509.5,255.0,7.72,27.5,88.7,23.8,87.48
44342.7,7.23,219.4,475.4,360.7,7.38,33.5,93.5,46.9,84.74
40061.7,8.14,200.3,449.2,214.8,7.68,16.2,53.4,14.5,91.9
27421.8,8.11,229.3,531.9,239.7,7.84,14.5,55.1,8.8,93.69
39944.5,7.51,269.5,555.9,183.1,7.6,29.7,92.0,14.4,88.97
35689.5,7.82,168.0,357.6,229.1,7.48,12.1,42.9,14.2,92.78
33938.5,7.85,180.5,391.9,243.0,7.63,12.2,50.1,11.6,93.25
41670.1,7.78,201.8,428.1,229.7,7.58,23.6,71.5,22.0,88.3
44186.0,7.53,139.2,330.5,169.0,7.57,15.3,52.5,17.4,88.98
43587.7,7.5,170.8,361.2,230.3,7.45,22.2,57.6,26.1,87.02
32964.7,7.69,191.4,410.5,293.1,7.5,13.5,48.5,15.2,92.93
36144.7,8.05,272.5,605.0,242.4,7.62,31.3,98.2,22.0,88.51
39987.6,7.86,235.8,490.3,268.1,7.57,30.4,94.7,31.9,87.11
43853.3,7.59,231.6,500.4,208.1,7.58,31.0,93.9,20.3,86.6
35125.0,7.93,271.1,604.9,257.5,7.55,31.4,109.6,25.0,88.43
36886.0,6.85,211.8,458.8,234.0,7.26,17.1,62.1,13.9,91.92
31362.0,8.04,243.4,533.3,172.5,7.54,18.7,62.7,9.7,92.32
30822.8,7.18,213.8,459.1,235.9,7.47,20.6,66.1,19.4,90.37
42875.2,7.59,235.9,483.3,170.4,7.62,25.2,75.9,13.3,89.31
46137.4,7.36,185.0,413.0,188.4,7.44,22.1,66.5,19.5,88.05
37567.9,7.31,80.0,190.0,229.5,7.42,3.8,19.9,9.4,95.26
44021.2,8.05,211.9,466.7,234.9,7.7,21.9,70.3,17.8,89.67
40169.8,7.56,305.4,678.7,160.5,7.62,39.6,120.0,15.1,87.03
34129.3,7.8,275.6,625.3,272.7,7.62,29.1,84.5,21.4,89.44
40168.4,7.69,277.9,576.2,248.6,7.51,42.1,120.0,30.0,84.84
47228.2,7.84,294.2,697.3,184.8,7.49,46.6,120.0,26.4,84.17
37785.0,7.72,225.3,500.3,143.1,7.49,18.0,57.3,11.3,92.02
47387.9,7.32,231.8,547.9,212.8,7.45,38.5,120.0,28.0,83.38
22281.5,8.0,182.9,389.1,197.7,7.6,4.5,28.0,4.4,97.53
42931.4,7.55,201.0,478.8,225.7,7.53,22.5,84.5,17.5,88.83
38522.3,7.23,256.9,585.2,201.8,7.38,27.9,98.8,18.7,89.15
36206.0,7.57,292.2,659.1,119.6,7.45,24.4,103.7,8.6,91.65
38550.6,8.15,211.6,470.5,200.6,7.61,18.7,69.5,16.6,91.18
26074.6,7.96,193.0,419.8,204.7,7.75,4.5,30.1,3.6,97.65
36682.0,7.6,220.0,510.5,251.7,7.59,26.0,85.0,25.0,88.2
40142.7,7.6,256.1,567.0,185.1,7.65,29.2,100.8,13.6,88.6
46867.4,7.6,133.4,267.2,303.9,7.57,16.6,42.9,31.0,87.52
34890.4,8.32,82.2,171.7,124.4,7.72,3.5,15.4,3.3,95.73
33149.0,7.81,187.0,407.9,285.6,7.69,12.1,44.2,9.2,93.53
34989.5,7.83,146.8,327.4,208.8,7.6,3.7,18.4,4.3,97.48
43492.4,8.01,189.5,415.9,263.0,7.67,22.6,69.2,20.4,88.1
39972.5,7.77,211.1,490.2,224.0,7.58,20.0,63.2,12.4,90.53
34821.4,7.62,192.8,386.6,277.0,7.33,16.6,53.0,18.9,91.38
41079.6,7.64,307.1,680.1,200.6,7.65,45.9,120.0,27.9,85.06
38582.5,7.68,239.6,483.6,165.1,7.59,30.9,82.5,16.4,87.1
43811.9,7.69,238.0,541.7,291.0,7.58,36.3,119.5,38.9,84.76
33787.7,7.92,257.3,563.7,214.3,7.62,29.5,84.6,21.6,88.55
36034.0,7.72,151.7,340.0,231.1,7.58,6.4,35.9,4.1,95.76
35647.4,7.92,282.3,596.8,281.7,7.58,34.6,107.1,25.4,87.73
29218.9,7.68,215.5,501.6,168.4,7.6,13.0,48.6,7.1,93.95
39776.7,7.72,260.2,599.6,249.8,7.48,28.6,114.7,26.5,89.0
39566.3,7.1,155.7,351.6,190.5,7.39,15.2,52.7,17.2,90.25
38030.7,7.97,126.8,277.3,213.4,7.68,10.2,33.9,12.3,91.96
36592.5,7.8,269.1,607.6,223.6,7.58,29.3,88.9,21.0,89.13
29507.8,8.0,242.6,516.5,145.0,7.68,10.6,45.4,4.8,95.65
35476.1,6.83,165.9,379.1,181.1,7.23,9.7,39.7,5.1,94.16
35943.7,8.33,167.8,396.9,287.6,7.68,13.0,52.0,14.4,92.23
33186.3,7.66,287.5,663.3,264.3,7.56,31.3,101.2,19.4,89.1
37032.3,8.03,148.6,316.2,216.9,7.71,9.3,37.4,11.6,93.73
40424.3,7.39,318.6,712.3,232.2,7.34,45.7,120.0,28.8,85.65
49317.1,7.88,166.0,343.7,205.3,7.65,24.8,59.4,23.8,85.07
39047.5,7.38,258.3,583.1,287.8,7.43,32.5,103.3,29.5,87.44
39545.3,7.51,200.3,449.6,210.0,7.49,23.2,64.4,16.6,88.43
37553.3,8.27,256.2,515.7,231.6,7.64,28.0,85.2,20.7,89.06
26487.4,7.64,187.4,390.4,277.3,7.48,11.3,37.2,5.2,93.97
37840.9,7.77,210.2,456.6,181.1,7.65,10.3,45.3,5.7,95.12
38361.4,7.96,222.5,482.7,297.9,7.64,25.9,84.4,24.9,88.35
52779.5,7.85,159.9,332.4,143.5,7.58,23.6,62.2,19.2,85.24
36845.8,7.75,264.4,592.1,301.5,7.57,33.0,109.0,31.5,87.53
39809.3,7.81,189.2,421.0,201.4,7.63,15.9,55.5,11.6,91.62
37791.7,8.42,206.3,449.8,207.9,7.81,14.3,59.7,6.7,93.05
30987.9,7.68,160.3,340.6,125.5,7.55,6.7,31.3,2.7,95.8
44856.9,7.76,80.0,184.4,197.3,7.65,8.4,26.2,16.0,89.45
42511.6,8.02,208.5,493.3,168.0,7.72,19.5,74.6,9.6,90.64
42746.2,8.03,364.8,784.8,189.6,7.69,60.0,120.0,36.5,83.55
32543.7,8.06,267.1,571.2,213.1,7.67,26.4,78.8,19.5,90.13
46416.8,7.89,218.8,492.2,267.9,7.66,31.6,94.6,32.3,85.55
29588.9,7.36,204.2,442.0,230.4,7.48,12.8,49.5,8.9,93.71
41521.1,8.19,221.3,483.9,235.4,7.78,24.5,82.2,19.0,88.93
51142.7,7.36,252.8,574.9,165.2,7.52,41.9,114.6,24.1,83.43
32056.8,7.79,149.2,299.7,176.0,7.52,7.8,30.5,4.3,94.74
34602.2,7.47,286.9,668.9,309.9,7.42,36.0,118.8,33.0,87.47
38597.9,7.68,262.9,580.3,183.2,7.51,28.2,93.0,15.3,89.29
34979.1,7.8,263.1,568.0,302.8,7.66,29.1,100.6,24.7,88.92
28696.0,7.8,246.3,539.7,207.8,7.48,15.3,59.5,6.3,93.79
38411.4,7.83,221.2,485.8,220.1,7.63,19.5,67.4,10.3,91.18
31626.2,8.18,260.4,527.7,273.5,7.73,24.3,77.1,17.9,90.68
40841.6,7.84,255.5,600.3,283.6,7.68,32.5,108.7,29.4,87.29
32483.5,7.63,198.8,438.1,214.5,7.55,18.0,59.3,18.3,90.92
47299.6,7.99,185.6,416.5,200.6,7.55,22.3,74.3,21.6,87.97
33300.5,8.06,226.1,519.0,217.2,7.6,17.5,60.5,11.7,92.28
36067.6,7.33,312.9,656.5,236.9,7.37,35.6,104.7,19.0,88.62
42881.1,7.88,145.7,327.3,264.6,7.58,16.5,50.0,26.7,88.68
30614.8,7.91,131.9,286.8,220.2,7.61,7.0,32.8,4.2,94.66
39364.8,7.61,229.9,525.2,250.9,7.45,27.9,73.1,25.6,87.85
45842.9,8.11,223.1,443.3,301.9,7.79,30.9,84.7,36.8,86.13
28355.1,7.65,230.4,504.6,239.1,7.45,11.7,49.6,6.5,94.92
39107.8,7.74,234.6,502.1,235.6,7.67,28.1,75.5,23.6,88.04
39559.3,7.65,206.6,463.5,144.1,7.63,16.1,61.0,8.8,92.23
42690.9,7.7,309.4,695.2,88.5,7.62,39.0,120.0,11.5,87.39
30578.3,7.37,123.9,263.9,239.4,7.41,5.2,26.5,5.3,95.77
30077.3,7.27,170.3,362.5,215.3,7.45,8.8,29.3,8.0,94.83
41131.6,8.18,213.8,468.0,194.3,7.61,19.7,74.8,14.8,90.78
39781.9,7.45,121.4,256.2,232.2,7.55,8.8,28.7,10.8,92.73
39503.0,7.4,209.4,478.4,217.0,7.47,15.2,60.3,9.0,92.74
40078.7,7.05,319.7,691.5,276.4,7.34,51.9,120.0,38.6,83.77
33919.9,7.51,221.3,422.4,224.3,7.42,16.5,49.2,10.2,92.54
39393.5,7.3,233.8,505.7,182.7,7.27,25.8,83.9,15.1,88.95
39758.4,8.19,144.4,302.7,269.5,7.64,15.2,46.1,23.2,89.44
33713.9,8.0,183.0,372.8,209.1,7.73,12.7,36.0,11.6,93.05
49194.6,7.49,197.5,410.0,246.3,7.47,27.8,83.4,28.6,85.91
40843.0,8.38,200.9,444.3,196.1,7.75,11.2,43.5,6.0,94.44
30852.2,7.99,296.9,692.6,187.5,7.69,27.8,93.8,11.4,90.64
41939.3,7.6,253.5,565.6,224.2,7.66,36.0,107.4,26.0,85.79
32151.9,6.95,153.3,328.0,220.6,7.43,7.6,33.4,6.9,95.01
42722.5,8.39,234.8,527.2,244.0,7.7,37.9,111.1,34.2,83.86
44951.6,7.28,249.9,538.3,206.6,7.3,33.9,105.0,23.2,86.43
33075.9,7.21,288.4,614.5,128.2,7.58,24.4,76.1,7.2,91.53
43780.3,8.01,314.8,656.3,198.4,7.81,45.0,118.3,20.8,85.72
40476.7,8.43,159.1,322.1,259.7,7.79,12.7,45.1,16.5,92.02
42932.4,8.12,171.3,370.3,205.1,7.6,19.3,67.8,21.7,88.72
49380.8,7.87,144.5,320.3,207.7,7.68,17.6,55.6,23.4,87.8
36527.7,7.88,206.0,451.1,269.3,7.61,22.3,75.7,22.6,89.18
33477.6,7.96,248.0,535.2,184.4,7.63,25.4,81.3,14.2,89.74
32662.9,7.93,279.2,587.9,142.9,7.69,22.0,73.3,11.1,92.11
33105.1,7.78,215.4,487.1,212.0,7.61,20.7,71.1,16.4,90.38
37537.4,7.73,200.8,415.3,195.8,7.49,18.7,59.4,13.6,90.69
40046.9,7.68,229.1,521.8,171.7,7.53,26.5,90.4,19.1,88.41
39660.1,7.47,169.9,356.7,211.2,7.54,13.9,51.0,10.1,91.84
42963.1,7.62,345.4,733.8,244.6,7.57,48.0,120.0,30.0,86.1
38078.0,7.19,123.5,253.7,219.5,7.43,10.7,39.5,12.0,91.3
46721.2,7.67,231.1,496.8,235.3,7.62,38.7,106.2,36.9,83.23
36412.1,7.4,341.4,784.4,310.7,7.45,52.1,120.0,44.4,84.74
54321.0,7.37,220.4,496.3,202.9,7.47,36.8,102.9,30.9,83.28
41754.0,7.75,208.6,479.3,233.9,7.34,23.6,75.3,20.7,88.69
32857.1,8.12,198.6,447.2,194.5,7.65,14.5,54.2,11.4,92.67
31574.6,7.98,209.2,437.1,177.7,7.7,12.9,53.8,8.9,93.83
40894.8,7.23,302.4,655.2,190.8,7.39,40.1,111.5,20.5,86.74
36659.2,7.4,87.3,185.2,196.1,7.44,3.0,15.1,3.6,96.56
42284.0,7.98,312.0,727.9,238.0,7.57,56.0,120.0,39.9,82.05
40839.4,7.41,134.6,279.9,337.5,7.54,14.7,38.9,34.7,89.08
37563.0,7.63,204.0,467.0,184.2,7.58,17.7,73.1,10.5,91.32
32919.2,7.87,194.2,444.7,199.2,7.67,15.7,57.5,12.4,91.94
28910.9,7.41,255.3,608.4,216.8,7.35,12.7,47.9,5.4,95.01
35320.9,7.73,124.1,268.0,239.8,7.56,9.2,33.1,13.7,92.61
43138.4,7.3,247.7,562.7,233.2,7.42,32.5,103.0,30.5,86.88
39284.6,7.52,341.5,829.1,284.2,7.49,50.1,120.0,35.1,85.32
30525.6,7.8,138.2,295.5,98.7,7.55,4.8,27.0,2.0,96.55
39039.1,7.22,231.4,473.5,100.7,7.39,25.7,82.6,10.6,88.91
40311.9,7.83,180.3,362.7,195.2,7.66,17.7,56.1,18.7,90.16
32696.9,7.69,245.6,557.7,274.9,7.42,18.9,75.5,12.3,92.32
38922.4,7.87,221.1,444.9,141.7,7.73,21.2,66.9,9.4,90.43
38349.3,7.77,181.5,392.6,80.0,7.61,14.2,59.8,7.3,92.19
31142.2,8.11,249.3,559.3,248.6,7.68,17.7,60.0,14.2,92.89
40146.7,7.74,328.3,728.3,232.2,7.63,49.6,120.0,26.9,84.89
41364.7,7.57,208.5,467.7,165.5,7.42,22.2,76.0,15.6,89.35
44498.3,7.74,263.2,584.9,170.7,7.52,35.7,110.3,20.1,86.43
44322.8,7.86,142.4,331.5,171.5,7.6,12.5,39.9,11.0,91.23
29734.0,7.71,162.6,342.3,225.5,7.66,3.0,17.6,4.5,98.16
32373.0,7.71,248.3,529.5,188.7,7.56,17.8,63.2,13.0,92.82
41090.2,7.49,309.0,656.0,244.7,7.53,39.7,120.0,24.9,87.15
41082.7,7.5,241.3,551.0,80.0,7.46,25.4,92.1,7.5,89.46
41090.3,7.28,201.2,460.8,177.2,7.47,23.1,69.2,16.4,88.5
60000.0,8.22,220.0,493.8,163.7,7.83,39.6,120.0,24.7,81.98
41425.3,7.33,145.0,336.1,207.2,7.52,12.9,54.2,16.4,91.1
44813.4,7.49,256.3,533.6,193.1,7.49,39.1,106.6,27.5,84.74
43724.0,7.48,272.9,646.0,259.9,7.54,40.8,120.0,31.1,85.04
41908.3,7.97,192.9,453.7,127.0,7.68,16.0,59.1,7.7,91.7
36108.4,7.61,191.8,436.1,222.3,7.57,14.5,55.2,13.2,92.47
42553.8,8.07,236.0,561.1,247.9,7.75,27.8,99.5,21.6,88.23
33363.0,7.5,193.8,394.2,312.8,7.58,16.0,51.4,16.2,91.75
36579.1,7.78,216.0,463.9,195.9,7.58,20.3,73.1,13.1,90.63
35087.8,7.45,346.0,735.7,236.2,7.53,48.4,120.0,31.1,86.02
38491.2,8.34,205.2,466.2,129.8,7.73,21.3,60.8,11.3,89.6
51888.0,7.34,198.5,415.9,100.4,7.39,21.4,67.3,8.9,89.22
26796.4,7.79,181.1,412.2,262.2,7.57,8.5,31.5,7.5,95.32
42117.6,7.89,264.7,618.5,219.7,7.61,35.8,113.9,22.3,86.48
28323.7,7.82,209.1,474.6,278.9,7.48,17.5,76.7,21.1,91.61
35168.4,7.64,181.0,403.4,151.3,7.6,3.9,29.2,3.7,97.84
44533.7,7.66,299.3,628.8,246.0,7.35,51.9,120.0,37.9,82.66
38385.7,7.71,305.2,645.5,313.4,7.75,45.5,120.0,42.4,85.1
31533.5,7.66,184.0,427.7,241.0,7.65,10.9,48.2,10.8,94.08
33708.2,7.99,108.0,246.0,233.8,7.63,4.5,21.8,8.1,95.82
42077.6,8.36,280.5,615.9,220.4,7.76,34.1,111.3,22.2,87.83
33617.8,7.53,178.9,386.2,141.5,7.53,5.2,26.3,3.3,97.08
39298.8,7.29,267.4,534.2,287.8,7.4,33.1,100.4,27.6,87.62
38273.4,7.67,101.8,213.0,189.5,7.57,7.3,24.6,9.4,92.82
34090.4,8.47,273.6,654.1,245.2,7.78,28.7,108.5,21.7,89.51
50863.7,7.46,147.3,305.3,141.8,7.48,16.4,48.7,10.7,88.85
41803.5,8.19,263.8,585.5,161.0,7.72,24.2,90.3,13.5,90.82
25849.1,8.2,220.9,508.1,291.8,7.62,17.8,66.7,17.1,91.93
39118.7,7.53,162.8,337.7,202.6,7.51,10.6,38.7,12.4,93.51
34029.3,7.87,195.6,433.9,292.7,7.62,16.1,55.8,20.5,91.77
43114.6,8.19,261.2,599.1,216.1,7.72,32.0,96.0,25.0,87.75
33244.9,7.59,226.4,498.3,127.9,7.51,15.5,63.0,6.1,93.14
37311.6,7.64,255.1,634.3,264.6,7.62,32.3,110.5,28.6,87.32
41029.9,7.53,338.6,688.4,190.5,7.48,46.8,120.0,21.9,86.19
43194.5,7.4,126.1,290.9,254.9,7.48,11.3,39.1,19.9,91.02
30798.2,7.51,317.0,692.0,221.3,7.59,27.6,99.6,16.5,91.3
35993.0,7.33,226.3,515.2,142.8,7.44,18.7,63.2,9.6,91.73
35150.3,7.71,166.1,372.7,228.2,7.58,13.6,48.2,12.3,91.79
34080.0,7.47,140.2,298.1,329.8,7.48,14.1,43.8,29.3,89.97
48592.7,7.77,208.7,463.8,244.6,7.67,26.7,78.9,24.5,87.21
40429.9,7.23,275.3,554.5,217.1,7.4,34.0,87.7,25.7,87.64
30434.7,7.8,212.3,480.0,273.8,7.68,18.6,67.9,20.8,91.23
43507.2,7.95,310.7,692.7,230.5,7.63,50.4,120.0,29.6,83.76
50732.9,7.1,132.9,300.9,230.5,7.32,19.0,56.3,27.2,85.74
44194.8,7.81,219.3,505.6,165.4,7.64,30.6,99.5,21.5,86.02
28883.8,8.07,144.9,324.0,231.7,7.65,7.2,35.2,6.7,95.02
35094.6,7.34,241.8,535.6,271.8,7.49,28.0,102.5,27.9,88.41
45601.5,8.2,273.2,577.0,178.2,7.52,41.4,115.4,24.8,84.85
33754.0,7.83,194.8,414.6,291.2,7.6,18.1,63.6,25.3,90.71
40662.9,7.49,80.0,185.5,215.4,7.46,6.5,24.2,8.5,91.82
42647.8,7.68,231.9,543.6,175.6,7.48,19.8,87.5,12.0,91.48
32438.4,7.87,246.2,535.8,269.9,7.57,19.1,77.0,20.0,92.24
37642.8,7.72,244.3,538.5,205.7,7.53,28.7,91.2,17.1,88.24
20000.0,7.86,294.1,620.5,258.0,7.61,15.1,65.3,6.9,94.86
31853.7,7.42,155.7,360.9,205.4,7.38,7.1,38.9,6.5,95.46
36484.6,7.75,260.8,591.1,217.0,7.6,22.9,79.1,17.4,91.22
30513.3,7.28,291.6,698.0,244.7,7.53,31.8,106.1,20.3,89.09
47794.5,7.67,113.3,239.3,234.5,7.57,10.4,36.7,17.1,90.85
29419.2,7.43,239.2,517.2,120.2,7.54,15.5,57.7,7.4,93.51
35359.7,7.48,189.7,421.8,163.9,7.57,17.6,59.1,8.5,90.75
38784.4,8.07,215.1,487.1,266.5,7.76,21.4,68.9,22.3,90.06
46647.6,8.03,240.9,524.7,213.4,7.79,29.3,80.1,18.5,87.82
29384.8,7.88,190.8,403.0,193.8,7.58,4.2,30.2,3.7,97.81
44979.0,7.37,179.5,410.6,152.1,7.41,22.0,74.1,18.1,87.76
38061.4,7.61,222.0,504.5,166.0,7.59,17.6,65.0,9.0,92.06
32110.9,8.06,154.8,326.3,118.9,7.72,6.6,34.1,3.2,95.76
40772.6,7.74,154.9,361.7,214.9,7.63,12.0,43.9,16.6,92.25
39194.4,8.4,260.8,604.2,190.1,7.9,35.9,108.4,22.9,86.24
34398.7,7.82,151.1,334.4,171.7,7.6,11.0,41.8,8.7,92.74
38418.8,7.76,260.0,574.0,216.6,7.61,32.2,99.8,24.1,87.62
35688.1,7.61,247.8,558.8,238.2,7.46,25.1,90.0,20.7,89.85
38681.1,7.74,116.5,246.2,324.7,7.72,11.1,33.4,20.7,90.48
41972.8,7.65,179.3,395.1,144.4,7.52,14.6,58.5,8.6,91.85
47516.1,7.91,291.6,578.8,278.0,7.6,46.4,120.0,41.1,84.1
30573.1,7.99,161.1,368.6,268.7,7.62,8.3,33.1,5.8,94.86
50798.2,7.46,192.1,392.7,181.0,7.44,21.5,68.1,16.6,88.8
26287.5,7.3,247.7,582.2,230.2,7.39,13.5,56.4,14.2,94.54
37089.3,7.15,267.0,578.6,197.1,7.36,33.2,108.5,20.1,87.55
41529.9,7.85,204.9,446.5,229.3,7.51,18.9,66.5,15.3,90.76
39686.0,7.37,184.1,393.6,295.5,7.41,22.1,68.2,28.1,87.98
34263.8,7.05,305.3,663.0,250.3,7.5,31.6,100.1,18.4,89.64
36751.3,7.82,324.3,759.5,245.4,7.65,35.6,99.0,23.2,89.03
35042.0,8.45,278.7,543.9,198.5,7.85,27.8,78.6,13.9,90.04
34463.8,7.7,225.1,524.0,145.8,7.64,22.2,74.8,13.2,90.13
43097.6,7.95,171.5,383.1,209.6,7.76,20.3,62.5,19.4,88.15
40142.1,7.72,170.2,353.8,280.3,7.44,13.4,48.1,12.0,92.14
33842.5,7.67,251.4,525.9,143.6,7.47,21.3,69.0,10.4,91.52
43397.6,7.98,245.1,580.3,167.2,7.59,29.2,96.6,17.0,88.07
39843.8,7.61,304.1,640.3,226.3,7.5,37.5,105.9,26.2,87.65
42877.2,7.78,259.0,540.0,170.8,7.56,29.6,85.1,16.5,88.57
41777.8,7.8,129.8,300.4,180.4,7.56,9.5,42.0,12.1,92.71
33026.0,7.5,283.1,632.4,198.8,7.52,28.2,92.2,16.0,90.03
34638.9,8.0,160.1,337.2,151.7,7.65,8.9,34.8,4.3,94.47
42483.8,7.65,197.0,437.6,171.3,7.49,18.3,58.7,12.1,90.72
41662.2,7.47,235.0,492.9,255.2,7.34,28.2,84.4,28.9,88.0
37874.6,7.86,339.7,784.8,154.6,7.54,44.1,120.0,16.0,87.01
38704.0,7.43,406.6,937.7,140.1,7.44,55.8,120.0,14.3,86.27
45666.0,7.71,256.4,577.7,188.5,7.55,35.7,114.8,21.2,86.06
34450.6,7.7,209.0,467.4,256.6,7.48,21.4,78.8,19.8,89.78
41282.6,8.03,252.1,598.9,210.2,7.62,33.8,103.4,23.5,86.6
36786.8,7.84,273.3,601.2,196.8,7.52,33.8,98.3,18.7,87.63
36693.9,7.69,200.8,417.9,222.2,7.55,18.5,56.8,11.9,90.79
44592.7,7.95,327.7,735.7,132.7,7.56,43.5,120.0,15.7,86.72
42952.5,8.12,233.8,563.1,244.7,7.63,32.4,109.2,26.8,86.14
42881.1,7.87,249.9,524.3,239.2,7.52,32.9,83.6,27.0,86.83
45832.9,7.7,260.0,562.5,199.5,7.55,40.2,108.5,26.4,84.54
38126.0,7.31,245.3,549.9,270.3,7.38,30.0,103.2,31.9,87.76
42091.7,7.38,270.3,593.3,163.6,7.53,41.0,111.5,21.9,84.82
36138.4,7.61,183.0,384.5,276.4,7.56,16.6,60.3,21.9,90.92
39945.0,7.52,186.5,431.2,227.7,7.5,19.3,65.9,20.1,89.64
37219.1,7.64,154.0,374.5,203.2,7.49,9.8,35.4,12.2,93.64
38582.0,7.72,246.4,546.8,219.0,7.59,27.2,87.7,20.3,88.98
41570.9,7.86,266.7,562.7,214.6,7.66,39.4,109.2,28.6,85.24
33090.7,7.68,247.5,506.1,281.0,7.56,20.1,66.4,17.7,91.86
50554.3,7.85,320.5,713.3,166.2,7.72,56.4,120.0,28.1,82.39
31963.9,7.72,219.7,507.5,181.9,7.6,14.2,61.2,11.0,93.55
30714.9,7.11,260.1,584.6,271.8,7.45,23.1,88.5,17.8,91.13
44948.7,7.42,154.5,339.9,190.2,7.48,16.8,58.3,18.7,89.16
42750.0,7.66,196.8,421.3,265.0,7.59,23.1,71.4,22.8,88.24
41744.7,7.34,261.7,547.2,305.0,7.4,36.3,94.3,34.9,86.14
41770.1,7.88,270.9,618.7,199.9,7.58,42.2,120.0,26.4,84.41
37926.5,8.16,202.4,463.7,254.1,7.72,22.4,86.4,18.2,88.94
32616.5,8.07,215.7,441.2,162.3,7.69,14.6,57.6,8.5,93.24
38454.8,7.64,128.9,304.1,257.7,7.58,9.3,45.0,16.3,92.8
33937.0,8.15,198.6,448.3,230.0,7.77,11.7,56.1,7.0,94.11
43850.7,7.74,273.4,639.8,243.7,7.47,43.0,120.0,32.4,84.27
37117.7,7.6,254.5,525.8,187.7,7.46,28.1,86.2,17.2,88.97
33047.0,7.52,250.0,515.9,136.9,7.52,21.3,67.9,6.4,91.48
36071.7,7.61,223.0,487.2,245.2,7.48,24.1,67.7,23.2,89.2
